『你们中间若有缺少智慧的，应当求那厚赐与众人、也不斥责人的神，主就必赐给他』	（雅1：5）
『如今你们奉主耶稣基督的名，并藉著我们神的灵，已经洗净，成圣，称义了』	（林前6：11）
『神使夏甲的眼睛明亮，她就看见一口水井，便去将皮袋盛满了水，给童子喝』	（创21：19）
『以利沙祷告说：「耶和华啊，求你开这少年人的眼目，使他能看见。」耶和华开他的眼目，他就看见满山有火车火马围绕以利沙』	（王下6：17）
『他们的眼睛明亮了，这才认出他来』	（路24：31）
『因为神知道，你们吃的日子眼睛就明亮了，你们便如神能知道善恶』	（创3：5）
『他们二人的眼睛就明亮了，才知道自己是赤身露体』	（创3：7）
『羊也跟著他，因为认得他的声音』	（约10：4）
『耶稣转过来，对彼得说：撒但，退我后边去吧！你是绊我脚的；因为你不体贴神的意思，只体贴人的意思』	（太16：23）
『每逢三年，就是十分取一之年，你取完了一切土产的十分之一，要分给利未人和寄居的，与孤儿寡妇，使他们在你城中可以吃得饱足』	（申26：12）
『所多玛人在耶和华面前罪大恶极』	（创13：13）
『他们行奸淫，做事虚妄，又坚固恶人的手，甚至无人回头离开他的恶。他们在我面前都像所多玛；耶路撒冷的居民都像蛾摩拉。』	（耶23：14）
『看哪，你妹妹所多玛的罪孽是这样：她和她的众女都心骄气傲，粮食饱足，大享安逸，并没有扶助困苦和穷乏人的手』	（结16：49）
『又如所多玛、蛾摩拉和周围城邑的人也照他们一味的行淫，随从逆性的情欲，就受永火的刑罚，作为鉴戒』	（犹1：7）
『你是谁，竟论断别人的仆人呢？』	（罗14：4）
『你这个人，为甚么论断弟兄呢？』	（罗14：10）
『所以，我们不可再彼此论断』	（罗14：13）
『连我自己也不论断自己』	（林前4：3）
『所以，时候未到，甚么都不要论断』	（林前4：5）
『你们还是自高自大，并不哀痛，把行这事的人从你们中间赶出去』	（林前5：2）
『敬畏耶和华是知识的开端』	（箴1：7）
『挪亚因著信，既蒙神指示他未见的事，动了敬畏的心，预备了一只方舟，使他全家得救。因此就定了那世代的罪，自己也承受了那从信而来的义』	（来11：7）
『因饥荒甚大，亚伯兰就下埃及去，要在那里暂居』	（创12：10）
『约瑟被带下埃及去』	（创39：1）
『各地的人都往埃及去，到约瑟那里籴粮，因为天下的饥荒甚大』	（创41：57）
『我听见埃及有粮，你们可以下去，从那里为我们籴些来，使我们可以存活，不至于死』	（创42：2）
『神说：「我是神，就是你父亲的神。你下埃及去不要害怕，因为我必使你在那里成为大族。我要和你同下埃及去」	（创46：3-4）3.『有主的使者向约瑟梦中显现，说：「起来！带著小孩子同他母亲逃往埃及，住在那里，等我吩咐你；因为希律必寻找小孩子，要除灭他。」』	（太2：13）
『耶和华向以撒显现，说：「你不要下埃及去，要住在我所指示你的地」』	（创26：2）
『我下来是要救他们脱离埃及人的手，领他们出了那地』	（出3：8）
『起身下埃及去，并没有求问我；要靠法老的力量加添自己的力量，并投在埃及的荫下』	（赛30：2）
『祸哉！那些下埃及求帮助的，是因仗赖马匹，倚靠甚多的车辆，并倚靠强壮的马兵，却不仰望以色列的圣者，也不求问耶和华』	（赛31：1）
『住在那里，直到希律死了。这是要应验主藉先知所说的话，说：「我从埃及召出我的儿子来。」』	（太2：15）
『惟独利未人要办会幕的事、、、、他们在以色列人中不可有产业』	（民18：23）
『利未人在他弟兄中无分无业，耶和华是他的产业』	（申10：9）
『只是利未支派，摩西没有把产业分给他们』	（书13：33）
『没有把地分给利未人，但给他们城邑居住，并城邑的郊野，可以牧养他们的牲畜，安置他们的财物』	（书14：4）
『于是以色列人照耶和华所吩咐的，从自己的地业中，将以下所记的城邑和城邑的郊野给了利未人』	（书21：3）
『凡以色列中出产的十分之一，我已赐给利未的子孙为业；因他们所办的是会幕的事，所以赐给他们为酬他们的劳』	（民18：21）
『我可以证明他们向神有热心，但不是按著真知识』	（罗10：12）
『你上我的坛，不可用台阶，免得露出你的下体来』	（出20：26）
『要给他们做细麻布裤子，遮掩下体；裤子当从腰达到大腿』	（出28：42）
『哈嫩便将大卫臣仆的胡须剃去一半，又割断他们下半截的衣服，使他们露出下体，打发他们回去』	（撒下10：4）
『你们都不可露骨肉之亲的下体，亲近他们』	（利18：6）
『不可露了妇人的下体，又露她女儿的下体，也不可娶她孙女或是外孙女，露她们的下体；她们是骨肉之亲，这本是大恶。』	（利18：17）
『你妻还在的时候，不可另娶她的姊妹作对头，露她的下体』	（利18：18）
『世人蒙昧无知的时候，神并不监察，如今却吩咐各处的人都要悔改』	（徒17：30）
『女人行经不洁净的时候，不可露她的下体，与她亲近』	（利18：19）
『我们一生的年日是七十岁，若是强壮可到八十岁』	（诗90：10）
『愿耶和华从这少年女子赐你后裔，使你的家像她玛从犹大所生法勒斯的家一般』	（得4：12）
『你们这假冒为善的文士和法利赛人有祸了！因为你们好像粉饰的坟墓，外面好看，里面却装满了死人的骨头和一切的污秽』	（太23：27）
『神却拣选了世上愚拙的，叫有智慧的羞愧；又拣选了世上软弱的，叫那强壮的羞愧』	（林前1：27）
『但扫罗越发有能力，驳倒住大马士革的犹太人，证明耶稣是基督』	（徒9：22）
『在众人面前极有能力驳倒犹太人，引圣经证明耶稣是基督』	（徒18：28）
『敬畏耶和华是智慧的开端』	（箴9：10）
『神的道是活泼的，是有功效的，比一切两刃的剑更快，甚至魂与灵，骨节与骨髓，都能刺入、剖开，连心中的思念和主意都能辨明』	（来4：12）
『耶和华的律法全备，能苏醒人心；耶和华的法度确定，能使愚人有智慧』	（诗19：7）
『按著正意分解真理的道』	（提后2：15）
『耶和华的律法全备，能苏醒人心；耶和华的法度确定，能使愚人有智慧』	（诗19：17）
『凡作恶的便恨光，并不来就光，恐怕他的行为受责备』	（约3：20）
『你曾砸碎鳄鱼的头，把牠给旷野的禽兽为食物』	（诗74：14）
『到那日，耶和华必用他刚硬有力的大刀刑罚鳄鱼─就是那快行的蛇，刑罚鳄鱼─就是那曲行的蛇，并杀海中的大鱼』	（赛27：1）
『耶稣连一句话也不回答彼拉多』	（太20：14）
『乐园里的人不可说的隐密的言语』	（林后12：4）
『你们得救是本乎恩，也因著信；这并不是出于自己，乃是神所赐的；也不是出于行为，免得有人自夸』	（弗2：8-9）
『他的家产有七千羊，三千骆驼，五百对牛，五百母驴』	（伯1：3）
『耶和华后来赐福给约伯比先前更多。他有一万四千羊，六千骆驼，一千对牛，一千母驴』	（伯42：12）
『他生了七个儿子，三个女儿』	（伯1：2）
『他也有七个儿子，三个女儿』	（伯42：13）
『	（上帝）将悔改的心和赦罪的恩赐给以色列人』	（徒5：31）
『做工的得工价，不算恩典，乃是该得的；惟有不做工的，只信称罪人为义的神，他的信就算为义。、、、得赦免其过、遮盖其罪的，这人是有福的』	（罗4：4-7）
『又有落在好土里的，就结实，有一百倍的，有六十倍的，有三十倍的』	（太13：8）
『我不许女人讲道』	（提前2：12）
『我不许女人讲道，也不许她辖管男人』	（提前2：12）
『底波拉说：我必与你同去，只是你在所行的路上得不著荣耀，因为耶和华要将西西拉交在一个妇人手里』	（士4：9）
『但要凡事察验，善美的要持守』	（帖前5：21）
『你们这假冒为善的文士和法利赛人有祸了！因为你们将薄荷、茴香、芹菜，献上十分之一，那律法上更重的事，就是公义、怜悯、信实，反倒不行了。这更重的是你们当行的；那也是不可不行的』	（太23：23）
『你们法利赛人有祸了！因为你们将薄荷、芸香并各样菜蔬献上十分之一，那公义和爱神的事反倒不行了。这原是你们当行的；那也是不可不行的』	（路11：42）
『若是你的右眼叫你跌倒，就剜出来丢掉，宁可失去百体中的一体，不叫全身丢在地狱里』	（太5：9）
『无论男女许了特别的愿，就是拿细耳人的愿	（拿细耳就是归主的意思；下同），要离俗归耶和华。他就要远离清酒浓酒，也不可喝甚么清酒浓酒做的醋；不可喝甚么葡萄汁，也不可吃鲜葡萄和干葡萄。在一切离俗的日子，凡葡萄树上结的，自核至皮所做的物，都不可吃。在他一切许愿离俗的日子，不可用剃头刀剃头，要由发绺长长了。他要圣洁，直到离俗归耶和华的日子满了。在他离俗归耶和华的一切日子，不可挨近死尸。他的父母或是弟兄姊妹死了的时候，他不可因他们使自己不洁净，因为那离俗归神的凭据是在他头上。』	（民6：2-7）
『神设立耶稣作挽回祭，是凭著耶稣的血，藉著人的信，要显明神的义』	（罗3：25）
『也称信耶稣的人为义』	（罗3：26）
『用何法没有的呢？是用立功之法吗？不是，乃用信主之法』	（罗3：27）
『所以我们看定了：人称义是因著信』	（罗3：28）
『我们既因信称义，就藉著我们的主耶稣基督得与神相和』	（罗5：1）
『不要被人虚浮的话欺哄』	（弗5：6）
『有许多人不服约束，说虚空话欺哄人』	（多1：10）
『我们所传的有谁信呢？』	（赛53：1）
『惟有忍耐到底的，必然得救』	（太24：3）
『摩西升天记』	（犹1：9）
『克里特人常说谎话，乃是恶兽又馋又懒』	（多1：12）
『后来，矶法到了安提阿；因他有可责之处，我就当面抵挡他』	（加2：11）
『这一日你和你的儿女、仆婢、牲畜，并你城里寄居的客旅，无论何工都不可做』	（出20：10）
『你们中间谁有一只羊，当安息日掉在坑里，不把牠抓住，拉上来呢？』	（太12：11）
『这一日，你和你的儿女、仆婢、牛、驴、牲畜，并在你城里寄居的客旅，无论何工都不可做，使你的仆婢可以和你一样安息』	（申5：14）
『第七日是圣安息日，当有圣会』	（利23：3）
『你若在安息日谨慎你的脚步，在我圣日不以操作为喜乐	（指工作赚钱）』	（赛58：13）
『你们赦免谁的罪，谁的罪就赦免了；你们留下谁的罪，谁的罪就留下了』	（约20：23）
『当初神应许亚伯拉罕的时候，因为没有比自己更大可以指著起誓的，就指著自己起誓』	（来6：13）
『主说：我凭著我的永生起誓：万膝必向我跪拜；万口必向我承认』	（罗14：11）
『至于那些祭司，原不是起誓立的，只有耶稣是起誓立的』	（来7：21）
『只是我告诉你们，甚么誓都不可起』	（太5：34）
『我的弟兄们，最要紧的是不可起誓；不可指著天起誓，也不可指著地起誓，无论何誓都不可起。你们说话，是，就说是；不是，就说不是，免得你们落在审判之下』	（雅5：12）
『懒惰使人沉睡』	（箴19：15）
『门在枢纽转动，懒惰人在床上也是如此』	（箴26：14）
『懒惰人叫差他的人如醋倒牙，如烟薰目』	（箴10：26）
『懒惰人的道像荆棘的篱笆；正直人的路是平坦的大道』	（箴15：19）
『懒惰人放手在盘子里，就是向口撤回，他也不肯』	（箴19：24）
『懒惰人放手在盘子里，就是向口撤回也以为劳乏』	（箴26：15）
『懒惰人因冬寒不肯耕种，到收割的时候，他必讨饭而无所得』	（箴20：4）
『懒惰人的心愿将他杀害，因为他手不肯做工』	（箴21：25）
『懒惰人说：外头有狮子；我在街上就必被杀』	（箴22：13）
『懒惰人说：道上有猛狮，街上有壮狮』	（箴26：13）
『懒惰人看自己比七个善于应对的人更有智慧』	（箴26：16）
『所罗门就在耶路撒冷、耶和华向他父大卫显现的摩利亚山上，就是耶布斯人阿珥楠的禾场上、大卫所指定的地方预备好了，开工建造耶和华的殿』	（代下3：1）
『耶和华有怜悯，有恩典，不轻易发怒，且有丰盛的慈爱』	（诗103：8）
『在拉玛听见号咷大哭的声音，是拉结哭他儿女，不肯受安慰，因为他们都不在了』	（太2：18）
『现在要应验经上的话，说：同我吃饭的人用脚踢我』	（约13：18）
『若受割礼，基督就与你们无益了』	（加5：2）
『不可用山羊羔母的奶煮山羊羔』	（申14：21）
『第八天，要给婴孩行割礼』	（利12：3）
『不可亏负寄居的，也不可欺压他』	（出22：21）
『不可随伙布散谣言』	（出23：1）
『不可随众行恶』	（出23：2）
『不可在争讼的事上随众偏行，作见证屈枉正直』	（出23：2）
『从前一次交付圣徒的真道』	（犹1：3）
『不可在争讼的事上偏护穷人』	（出23：3）
『你们施行审判，不可行不义；不可偏护穷人，也不可重看有势力的人，只要按著公义审判你的邻舍』	（利19：15）
『他们向神有热心，但不是按著真知识』	（罗10：2）
『这百姓用嘴唇尊敬我，心却远离我』	（太15：8）
『你为什么打我？』	（约18：23）
『人到我这里来，若不恨自己的父母、妻子、儿女、弟兄、姊妹，和自己的性命，就不能作我的门徒』	（路14：26）
『当孝敬父母』	（出20：12）
『若有人不肯做工，就不可吃饭』	（帖后3：10）
『你手若有行善的力量，不可推辞，就当向那应得的人施行』	（箴3：27）
『上帝爱世人』	（约3：16）
『那无学问、不坚固的人强解，如强解别的经书一样，就自取沉沦』	（彼后3：16）
『耶和华啊，我受欺压，求你为我作保』	（赛38：14）
『我儿，你若为朋友作保，替外人击掌，你就被口中的话语缠住，被嘴里的言语捉住』	（箴6：1-2）
『为外人作保的，必受亏损；恨恶击掌的，却得安稳』	（箴11：15）
『谁为生人作保，就拿谁的衣服；谁为外女作保，谁就承当』	（箴27：13）
『耶和华不轻易发怒，并有丰盛的慈爱，赦免罪孽和过犯；万不以有罪的为无罪，必追讨他的罪，自父及子，直到三、四代』	（民14：18）
『他	（希西家）废去邱坛，毁坏柱像，砍下木偶，打碎摩西所造的铜蛇，因为到那时以色列人仍向铜蛇烧香。希西家叫铜蛇为铜块【或作人称铜蛇为铜像】。』	（王下18：4）
『是就说是，不是就说不是』	（太5：37）
『该隐与妻子同房，他妻子就怀孕，生了以诺。该隐建造了一座城，就按著他儿子的名将那城叫做以诺』	（创4：17）
『祭司利未人和利未全支派必在以色列中无分无业；他们所吃用的就是献给耶和华的火祭和一切所捐的』	（申18：1）
『但这一切的事成就了，为要应验先知书上的话』	（太26：56）
『人活著，不是单靠食物，乃是靠上帝口里所出的一切话』	（太4：4）
『从来没有人恨恶自己的身子，总是保养顾惜』	（弗5：29）
『有衣有食，就当知足』	（提前6：8）
『神称光为昼，称暗为夜。有晚上，有早晨，这是头一日』	（创1：5）
『因为假基督、假先知将要起来，显大神迹、大奇事，倘若能行，连选民也就迷惑了』	（太24：24）
『神非人，必不致说谎，也非人子，必不致后悔。他说话岂不照著行呢？他发言岂不要成就呢？』	（民23：19）
『地要悲哀，在上的天也必黑暗；因为我言已出，我意已定，必不后悔，也不转意不做』	（耶4：28）
『我耶和华说过的必定成就，必照话而行，必不返回，必不顾惜，也不后悔』	（结24：14）
『万军之耶和华如此说：你们列祖惹我发怒的时候，我怎样定意降祸，并不后悔』	（亚8：14）
『耶和华见人在地上罪恶很大，终日所思想的尽都是恶，耶和华就后悔造人在地上，心中忧伤。耶和华说：我要将所造的人和走兽，并昆虫，以及空中的飞鸟，都从地上除灭，因为我造他们后悔	（叹息）了』	（创6：5-7）
『士师在世的一切日子，耶和华拯救他们脱离仇敌的手。他们因受欺压扰害，就哀声叹气，所以耶和华后悔	（施怜悯）了』	（士2：18）
『耶和华啊，我们要等到几时呢？求你转回，为你的仆人后悔	（施怜悯）』	（诗90：13）
『主耶和华指示我一件事：为王割菜之后，菜又发生；刚发生的时候，主造蝗虫。蝗虫吃尽那地的青物，我就说：主耶和华啊，求你赦免；因为雅各微弱，他怎能站立得住呢？耶和华就后悔	（怜悯），说：这灾可以免了』	（摩7：1-3）
『主耶和华又指示我一件事：他命火来惩罚以色列，火就吞灭深渊，险些将地烧灭。我就说：主耶和华啊，求你止息；因为雅各微弱，他怎能站立得住呢？耶和华就后悔	（怜悯），说：这灾也可免了』	（摩7：4-6）
『神非人，必不致说谎，也非人子，必不致后悔』	（民23：19）
『耶稣说：我若说的不是，你可以指证那不是；我若说的是，你为甚么打我呢？』	（约18：23）
『你们若有信心，不疑惑，不但能行无花果树上所行的事，就是对这座山说：你挪开此地，投在海里！也必成就』	（太21：21）
『你们却要在我们主救主耶稣基督的恩典和知识上有长进。愿荣耀归给他，从今直到永远。阿们！』	（彼后3：18）
『因他受的鞭伤，我们得医治』	（赛53：5）
『我必从天上垂听，赦免他们的罪，医治他们的地』	（代下7：14）
『要敬畏耶和华，远离恶事。这便医治你的肚脐，滋润你的百骨』	（箴3：7-8）
『良言如同蜂房，使心觉甘甜，使骨得医治』	（箴16：24）
『人在父家拉住弟兄，说：你有衣服，可以作我们的官长。这败落的事归在你手下吧！那时，他必扬声说：我不作医治你们的人；因我家中没有粮食，也没有衣服，你们不可立我作百姓的官长』	（赛3：6-7）
『耶和华必击打埃及，又击打又医治，埃及人就归向耶和华。他必应允他们的祷告，医治他们』	（赛19：22）
『当耶和华缠裹他百姓的损处，医治他民鞭伤的日子』	（赛30：26）
『这样，你的光就必发现如早晨的光，你所得的医治要速速发明』	（赛58：8）
『你们这背道的儿女啊，回来吧！我要医治你们背道的病』	（耶3：22）
『你全然弃掉犹大吗？你心厌恶锡安吗？为何击打我们，以致无法医治呢？我们指望平安，却得不著好处；指望痊愈，不料，受了惊惶』	（耶14：19）
『我的痛苦为何长久不止呢？我的伤痕为何无法医治、不能痊愈呢？』	（耶15：18）
『耶和华啊，求你医治我，我便痊愈，拯救我，我便得救』	（耶17：14）
『我们想医治巴比伦，她却没有治好』	（耶51：9）
『锡安的民哪，我可拿甚么和你比较，好安慰你呢？因为你的裂口大如海，谁能医治你呢？』	（哀2：13）
『以法莲见自己有病，犹大见自己有伤，他们就打发人往亚述去见耶雷布王，他却不能医治你们，不能治好你们的伤』	（何5：13）
『来吧，我们归向耶和华！他撕裂我们，也必医治；他打伤我们，也必缠裹』	（何6：1）
『我想医治以色列的时候，以法莲的罪孽和撒马利亚的罪恶就显露出来』	（何7：1）
『我原教导以法莲行走，用膀臂抱著他们，他们却不知道是我医治他们』	（何11：3）
『我必医治他们背道的病』	（何14：4）
『因为撒马利亚的伤痕无法医治，延及犹大和耶路撒冷我民的城门』	（弥1：9）
『他在太平之时流这二人	（两位元帅）的血，如在争战之时一样』	（王上2：5）
『我所讲的道在末日要审判他』	（约12：48）
『给我作见证的就是这经』	（约5：39）
『既从律法中受了教训，就晓得神的旨意，也能分别是非』	（罗2：18）
『律法的总结就是基督』	（罗10：4）
『这样，我们因信废了律法吗？断乎不是！更是坚固律法』	（罗3：31）
『拿著圣灵的宝剑，就是神的道』	（弗6：17）
『我实在告诉你们，你们若不回转，变成小孩子的样式，断不得进天国』	（太18：3）
『让小孩子到我这里来，不要禁止他们；因为在天国的，正是这样的人』	（太19：14）
『你有信心，就当在神面前守著。人在自己以为可行的事上能不自责，就有福了。』	（罗14：22）
『有疑心而吃的，就必有罪，因为他吃不是出于信心。凡不出于信心的都是罪』	（罗14：23）
『你们若是与基督同死，脱离了世上的小学，为甚么仍像在世俗中活著，服从那不可拿、不可尝、不可摸等类的规条呢？』	（西2：20）
『真理必叫你们得以自由』	（约8：32）
『你爱我比这些更深吗？』的耶稣吗？	（约21：15）
『你跟从我吧！』的耶稣吗？	（约21：19）
『是的，主耶稣啊，我爱你』的门徒。	（约21：15）
『不可妄称耶和华你神的名』	（出20：7）
『所以弟兄们，我以神的慈悲劝你们，将身体献上，当作活祭，是圣洁的，是神所喜悦的；你们如此事奉乃是理所当然的』	（罗12：1）
『人若自洁，脱离卑贱的事，就必作贵重的器皿，成为圣洁，合乎主用，预备行各样的善事』	（提后2：21）
『无论在那里，有两三个人奉我的名聚会，那里就有我在他们中间』	（太18：20）
『你们奉我的名无论求甚么，我必成就，叫父因儿子得荣耀』	（约14：13）
『你爱我吗？』	（约21：16）
『你愿意跟随我的脚踪行吗？』	（彼前2：21）
『你若俯伏拜我，我就把这一切都赐给你』	（太4：9）
『撒但，退去吧！因为经上记著说：当拜主你的神，单要事奉他』	（太4：10）
『你们不一定死，因为神知道你们吃的日子眼睛就明亮了，你们便如神，能知道善恶』	（创3：4-5）
『悦人眼目』	（创3：6）
『不可偏向那些交鬼的和行巫术的；不可求问他们，以致被他们玷污了。我是耶和华你们的神』	（利19：31）
『人偏向交鬼的和行巫术的，随他们行邪淫，我要向那人变脸，把他从民中剪除』	（利20：6）
『神能照著运行在我们心里的大力充充足足的成就一切，超过我们所求所想的』	（弗3：20）
『你吃的日子，必定死！』	（创2：17）
『字句是叫人死，精意是叫人活』	（林后3：6）
『你们祷告，不可像外邦人，用许多重复话，他们以为话多了必蒙垂听』	（太6：7）
『我父啊，倘若可行，求你叫这杯离开我』	（太26：39）
『无论是我们，是天上来的使者，若传福音给你们，与我们所传给你们的不同，他就应当被咒诅』	（加1：8）
『因为我曾定了主意，在你们中间不知道别的，只知道耶稣基督并他钉十字架』	（林前2：2）
『从前在百姓中有假先知起来，将来在你们中间也必有假师傅，私自引进陷害人的异端，连买他们的主他们也不承认』	（彼后2：1）
『将有许多人随从他们邪淫的行为』	（彼后2：2）
『他们因有贪心，要用捏造的言语在你们身上取利』	（彼后2：3）
『因为时候要到，人必厌烦纯正的道理，耳朵发痒，就随从自己的情欲，增添好些师傅』	（提后4：3）
『初入教的不可作监督，恐怕他自高自大，就落在魔鬼所受的刑罚里』	（提前3：6）
『你们要谨慎，恐怕有人用他的理学和虚空的妄言，不照著基督，乃照人间的遗传和世上的小学就把你们掳去』	（西2：8）
『你们往普天下去，传福音给万民听』	（可16：15）
『你们当悔改，信福音』	（可1：15）
『神儿子的福音』	（罗1：9）
『神的儿子耶稣基督的福音』	（可1：1）
『我主耶稣的福音』	（帖后1：8）
『神荣耀的福音』	（提前1：11）
『福音就是真理的道』	（弗1：13）
『福音就是道』	（彼前1：25）
『和平的福音』	（徒10：36）
『平安的福音』	（弗6：15）
『叫人得救的福音』	（弗1：3）
『道就是上帝』	（约1：1）
『道成了肉身』	（约1：14）
『到那时候，凡求告主名的，就必得救』	（徒2：21）
『你们钉在十字架上的这位耶稣，神已经立他为主，为基督了』	（徒2：36）
『耶稣基督的仆人保罗，奉召为使徒，特派传神的福音。这福音是神从前藉众先知在圣经上所应许的，论到他儿子我主耶稣基督。按肉体说，是从大卫后裔生的；按圣善的灵说，因从死里复活，以大能显明是神的儿子。我们从他受了恩惠并使徒的职分，在万国之中叫人为他的名信服真道』	（罗1：1-5）
『我曾定了主意，在你们中间不知道别的，只知道耶稣基督并他钉十字架』	（林前2：2）
『人称义不是因行律法，乃是因信耶稣基督』	（加2：16）
『为罪、为义、为审判，自己责备自己』的	（约16：8）
『不背著他的十字架跟从我的，也不配作我的门徒』	（太10：38）
『心灵愿意，肉体却软弱了』	（太26：41）
『神从创立世界以前，在基督里拣选了我们』	（弗1：4）
『我不但为这些人祈求，也为那些因他们的话信我的人祈求』	（约17：20）
『这是一件美事』	（太26：10）
『但要凡事察验』	（帖前5：21）
『教导的，审判会越严厉』	（雅3：1）
『马利亚说：我是主的使女，情愿照你的话成就在我身上』	（路1：38）
『他	（魔鬼）本来是说谎的，也是说谎之人的父』	（约8：44）
『你们要弃绝谎言，各人与邻舍说实话』	（弗4：25）
『所吩咐你们的话，你们不可加添，也不可删减』	（申4：2）
『耶稣说：狐狸有洞，天空的飞鸟有窝，人子却没有枕头的地方』	（太8：20）
『因为他们从最小的到至大的都一味地贪婪，从先知到祭司都行事虚谎』	（耶6：13）
『他们行可憎的事知道惭愧吗？不然，他们毫不惭愧，也不知羞耻。因此，他们必在仆倒的人中仆倒；我向他们讨罪的时候，他们必致跌倒。这是耶和华说的』	（耶6：15）
『你若是神的儿子，可以跳下去，因为经上记著说：主要为你吩咐他的使者用手托著你，免得你的脚碰在石头上』	（太4：6）
『耶稣却回答说：经上记著说：人活著，不是单靠食物，乃是靠神口里所出的一切话』	（太4：4）
『耶稣对他说：经上又记著说：不可试探主你的神』	（太4：7）
『耶稣说：撒但，退去吧！因为经上记著说：当拜主你的神，单要事奉他』	（太4：10）
『经上所有的预言没有可随私意解说的』	（彼后1：20）
『行邪术的女人，不可容她存活』	（出22：18）
『在你们中间的耶和华你神是忌邪的神，惟恐耶和华你神的怒气向你发作，就把你从地上除灭』	（申6：15）
『你心中说：惟有我，除我以外再没有别的』	（赛47：8）
『丧子、寡居这两件事在一日转眼之间必临到你；正在你多行邪术、广施符咒的时候，这两件事必全然临到你身上』	（赛47：9）
『你的智慧聪明使你偏邪』	（赛47：10）
『因此，祸患要临到你身；你不知何时发现灾害落在你身上，你也不能除掉；所不知道的毁灭也必忽然临到你身』	（赛47：11）
『站起来吧！用你从幼年劳神施行的符咒和你许多的邪术；或者可得益处，或者可得强胜』	（赛47：12）
『我们却是传钉十字架的基督』	（林前1：23）
『你若不悔改，我就临到你那里，把你的灯台从原处挪去。』	（启2：5）
『你们是出于你们的父魔鬼，你们父的私欲你们偏要行。他从起初是杀人的，不守真理，因他心里没有真理。他说谎是出于自己；因他本来是说谎的，也是说谎之人的父』	（约8：44）
『愚昧人张扬自己的愚昧』	（箴13：16）
『愚昧人的口吐出愚昧』	（箴15：2）
『愚昧人行愚妄事，行了又行，就如狗转过来吃牠所吐的』	（箴26：11）
『你想，我不能求我父现在为我差遣十二营多天使来吗？』	（太26：53）
『不要自己心里说：有亚伯拉罕为我们的祖宗。我告诉你们，神能从这些石头中给亚伯拉罕兴起子孙来』	（太3：9）
『神从创立世界以前，在基督里拣选了我们，使我们在他面前成为圣洁，无有瑕疵』	（弗1：4）
『我知道，你万事都能做；你的旨意不能拦阻』	（伯42：2）
『我从前风闻有你，现在亲眼看见你』	（伯42：5）
『我向你们所怀的意念是赐平安的意念，不是降灾祸的意念，要叫你们末后有指望』	（耶22：11）
『我为自己留下七千人，是未曾向巴力屈膝的』	（罗11：4）
『愚蒙人哪，你们要会悟灵明；愚昧人哪，你们当心里明白』	（箴8：5）
『这就是耶和华荣耀的形像。我一看见就俯伏在地』	（结1：28）
『耶稣一说我就是，他们就退后倒在地上』	（约18：6）
『凡称呼我主啊，主啊的人不能都进天国』	（太7：21）
『祭司长回答说：除了该撒，我们没有王』	（约19：15）
『彼拉多想要释放耶稣，无奈犹太人喊著说：你若释放这个人，就不是该撒的忠臣。凡以自己为王的，就是背叛该撒了』	（约19：12）
『彼拉多又用牌子写了一个名号，安在十字架上，写的是：犹太人的王，拿撒勒人耶稣』	（约19：19）
『犹太人的祭司长就对彼拉多说：不要写犹太人的王，要写他自己说：我是犹太人的王』	（约19：21）
『诸天述说神的荣耀』	（诗19：1）
『你们作仆人的，要凡事听从你们肉身的主人，不要只在眼前事奉，像是讨人喜欢的，总要存心诚实敬畏主』	（西3：22）
『无论做甚么，都要从心里做，像是给主做的，不是给人做的』	（西3：23）
『谁知道人的灵是往上升，兽的魂是下入地呢？』	（传3：21）
『耶和华 神用地上的尘土造人、将生气吹在他鼻孔里、他就成了有灵的活人、名叫亚当。』	（创2：7）
『我凭著主耶稣确知深信，凡物本来没有不洁净的；惟独人以为不洁净的，在他就不洁净了』	（罗14：4）
『若是你们以事奉耶和华为不好，今日就可以选择所要事奉的：是你们列祖在大河那边所事奉的神呢？是你们所住这地的亚摩利人的神呢？至于我和我家，我们必定事奉耶和华』	（书24：15）
『你们现在要除掉你们中间的外邦神，专心归向耶和华以色列的神』	（书24：23）
『又有鬼从好些人身上出来，喊著说：你是神的儿子。耶稣斥责他们，不许他们说话』	（路4：41）
『我们已经说了，现在又说，若有人传福音给你们，与你们所领受的不同，他就应当被咒诅』	（加1：9）
『所以，弟兄们，你们要站立得稳，凡所领受的教训，不拘是我们口传的，是信上写的，都要坚守』	（帖后2：15）
『我们可以作恶以成善吗？』	（罗3：8）
『你们要谨慎，免得有人迷惑你们』	（太24：4）
『看哪，我预先告诉你们了』	（太24：25）
『假基督	（复数）、假先知	（复数）将要起来，显大神迹、大奇事，倘若能行，连选民也就迷惑了』	（太24：24）
『你却要凡事谨慎』	（提后4：5）
『撒母耳说：我怎能去呢？扫罗若听见，必要杀我。耶和华说：你可以带一只牛犊去，就说：我来是要向耶和华献祭』	（撒上16：2）
『你们为甚么做这事，存留男孩的性命呢？』	（出1：18）
『我爱雅各、恨以扫』	（罗9：13）
『将来大的要服事小的』	（创25：23）
『谁摸我？』	（路8：45）
『然而，我们到了甚么地步，就当照著甚么地步行』	（腓3：16）
『不要看自己过于所当看的，要照著神所分给各人信心的大小，看得合乎中道』	（罗12：23）
『学习像神一样完全』	（太5：48）
『若遇见你仇敌的牛或驴失迷了路，总要牵回来交给他』	（出23：4）
